,Temperature (K),Internal Energy (U),Classical Partition (Cv)
36,370.0,-1.1069475875530418e-21,2.9512984440083144e-24
37,380.0,-1.078219512144874e-21,2.8002517675886467e-24
38,390.0,-1.050942552201269e-21,2.660492873405231e-24
39,400.0,-1.0250096546767695e-21,2.5309263950303148e-24
40,410.0,-1.0003240243006626e-21,2.410586423854203e-24
41,420.0,-9.767979261996854e-22,2.2986186127629126e-24
42,430.0,-9.543516520454044e-22,2.194265094201474e-24
43,440.0,-9.32912624315656e-22,2.0968517193071044e-24
44,450.0,-9.124146176592623e-22,2.0057772197241705e-24
45,460.0,-8.927970799211725e-22,1.9205039685489984e-24
46,470.0,-8.740045382882823e-22,1.8405500770425564e-24
47,480.0,-8.559860783803214e-22,1.7654826112790573e-24
48,490.0,-8.3869488606270115e-22,1.694911751182337e-24
49,500.0,-8.220878433566746e-22,1.6284857456125741e-24
50,510.0,-8.061251711504497e-22,1.5658865419858554e-24
51,520.0,-7.907701125169575e-22,1.5068259895345302e-24
52,530.0,-7.759886513597591e-22,1.4510425317874013e-24
53,540.0,-7.617492618812095e-22,1.398298317617586e-24
54,550.0,-7.480226850074073e-22,1.348376671570577e-24
55,560.0,-7.34781728449798e-22,1.3010798732251905e-24
56,570.0,-7.220010875429035e-22,1.2562272033501002e-24
57,580.0,-7.09657184382796e-22,1.213653220842921e-24
58,590.0,-6.977280231260451e-22,1.1732062397610449e-24
59,600.0,-6.861930595875751e-22,1.1347469805014106e-24
60,610.0,-6.750330835160169e-22,1.0981473726297162e-24
61,620.0,-6.642301121349807e-22,1.063289490273526e-24
62,630.0,-6.537672937105464e-22,1.0300646035639598e-24
63,640.0,-6.436288200637015e-22,9.983723318179459e-25
64,650.0,-6.337998470741875e-22,9.681198863504704e-25
65,660.0,-6.242664223366921e-22,9.39221392120805e-25
66,670.0,-6.150154192317714e-22,9.11597278971565e-25
67,680.0,-6.060344767572608e-22,8.85173734509585e-25
68,690.0,-5.973119445415797e-22,8.59882211570147e-25
69,700.0,-5.888368325258579e-22,8.356589840499272e-25
70,710.0,-5.805987648605811e-22,8.1244474584555695e-25
71,720.0,-5.725879376089468e-22,7.901842482379335e-25
72,730.0,-5.647950798958224e-22,7.688259714108094e-25
73,740.0,-5.572114181807306e-22,7.483218265621488e-25
74,750.0,-5.498286433645795e-22,7.2862688549357585e-25
75,760.0,-5.4263888047085905e-22,7.096991346662765e-25
76,770.0,-5.356346606712539e-22,6.914992512363727e-25
77,780.0,-5.288088954461316e-22,6.739903990146029e-25
78,790.0,-5.221548526909619e-22,6.571380422019573e-25
79,800.0,-5.156661346020924e-22,6.409097751648052e-25
80,810.0,-5.093366571876658e-22,6.252751667534698e-25
81,820.0,-5.0316063126702305e-22,6.102056177026246e-25
82,830.0,-4.971325448336133e-22,5.956742299509222e-25
83,840.0,-4.912471466680046e-22,5.8165568667324865e-25
84,850.0,-4.854994311001483e-22,5.681261420397588e-25
85,860.0,-4.798846238272094e-22,5.55063119867679e-25
86,870.0,-4.743981687027947e-22,5.424454203174488e-25
87,880.0,-4.690357154208605e-22,5.302530339317154e-25
88,890.0,-4.637931080241604e-22,5.184670623500829e-25
89,900.0,-4.586663741738588e-22,5.070696450767221e-25
90,910.0,-4.53651715122626e-22,4.960438918249948e-25
91,920.0,-4.487454963373589e-22,4.853738200173081e-25
92,930.0,-4.439442387222798e-22,4.750442968858817e-25
93,940.0,-4.392446103996413e-22,4.65040985796807e-25
94,950.0,-4.346434190063437e-22,4.553502965373387e-25
95,960.0,-4.301376044688945e-22,4.4595933915937005e-25
96,970.0,-4.257242322231563e-22,4.368558811632578e-25
97,980.0,-4.2140048684562934e-22,4.280283076835039e-25
98,990.0,-4.171636660694862e-22,3.1669154530521916e-25
99,1000.0,-4.1506665593952495e-22,2.097010129961253e-25
