Temperature (K),B2V (Hard Sphere (Å^3/mol)),B2V (Square Well(Å^3/mol)),B2V (Lennard-Jones(Å^3/mol))
206.0,4.938359897252319e+25,-3.962783096900431e+25,-4.066900509173331e+25
207.0,4.938359897252319e+25,-3.9066154380015805e+25,-4.02155669615652e+25
208.0,4.938359897252319e+25,-3.8511383111725853e+25,-3.976726899383051e+25
209.0,4.938359897252319e+25,-3.796339257828495e+25,-3.9324026086048775e+25
210.0,4.938359897252319e+25,-3.7422061134967624e+25,-3.888575499505231e+25
211.0,4.938359897252319e+25,-3.6887269992810227e+25,-3.8452374286600056e+25
212.0,4.938359897252319e+25,-3.6358903136177494e+25,-3.802380428661744e+25
213.0,4.938359897252319e+25,-3.5836847243142678e+25,-3.7599967034003516e+25
214.0,4.938359897252319e+25,-3.5320991608570914e+25,-3.718078623494479e+25
215.0,4.938359897252319e+25,-3.481122806979943e+25,-3.6766187218681807e+25
216.0,4.938359897252319e+25,-3.4307450934814636e+25,-3.635609689467406e+25
217.0,4.938359897252319e+25,-3.3809556912828577e+25,-3.5950443711111925e+25
218.0,4.938359897252319e+25,-3.3317445047163236e+25,-3.5549157614727077e+25
219.0,4.938359897252319e+25,-3.2831016650353675e+25,-3.5152170011854014e+25
220.0,4.938359897252319e+25,-3.23501752413862e+25,-3.4759413730697123e+25
221.0,4.938359897252319e+25,-3.187482648499001e+25,-3.4370822984761025e+25
222.0,4.938359897252319e+25,-3.1404878132905414e+25,-3.3986333337401443e+25
223.0,4.938359897252319e+25,-3.0940239967054464e+25,-3.3605881667457864e+25
224.0,4.938359897252319e+25,-3.048082374454255e+25,-3.322940613592901e+25
225.0,4.938359897252319e+25,-3.002654314442369e+25,-3.2856846153654655e+25
226.0,4.938359897252319e+25,-2.957731371616389e+25,-3.248814234996885e+25
227.0,4.938359897252319e+25,-2.9133052829740257e+25,-3.2123236542290077e+25
228.0,4.938359897252319e+25,-2.8693679627316046e+25,-3.176207170661642e+25
229.0,4.938359897252319e+25,-2.82591149764346e+25,-3.1404591948894408e+25
230.0,4.938359897252319e+25,-2.782928142467659e+25,-3.1050742477231442e+25
231.0,4.938359897252319e+25,-2.7404103155728197e+25,-3.070046957492271e+25
232.0,4.938359897252319e+25,-2.6983505946809935e+25,-3.0353720574265643e+25
233.0,4.938359897252319e+25,-2.656741712741659e+25,-3.001044383113451e+25
234.0,4.938359897252319e+25,-2.6155765539323036e+25,-2.967058870029005e+25
235.0,4.938359897252319e+25,-2.574848149780985e+25,-2.933410551139921e+25
236.0,4.938359897252319e+25,-2.534549675406689e+25,-2.900094554574134e+25
237.0,4.938359897252319e+25,-2.494674445873295e+25,-2.867106101357831e+25
238.0,4.938359897252319e+25,-2.4552159126532085e+25,-2.8344405032166438e+25
239.0,4.938359897252319e+25,-2.4161676601968833e+25,-2.8020931604388782e+25
240.0,4.938359897252319e+25,-2.3775234026045234e+25,-2.7700595597988263e+25
241.0,4.938359897252319e+25,-2.3392769803964993e+25,-2.7383352725381097e+25
242.0,4.938359897252319e+25,-2.3014223573791093e+25,-2.7069159524032752e+25
243.0,4.938359897252319e+25,-2.263953617602378e+25,-2.675797333737716e+25
244.0,4.938359897252319e+25,-2.2268649624068694e+25,-2.644975229626267e+25
245.0,4.938359897252319e+25,-2.190150707556393e+25,-2.614445530090728e+25
246.0,4.938359897252319e+25,-2.1538052804538582e+25,-2.584204200334741e+25
247.0,4.938359897252319e+25,-2.1178232174373668e+25,-2.554247279036364e+25
248.0,4.938359897252319e+25,-2.082199161153967e+25,-2.5245708766870067e+25
249.0,4.938359897252319e+25,-2.0469278580084372e+25,-2.495171173975049e+25
250.0,4.938359897252319e+25,-2.0120041556846858e+25,-2.4660444202129586e+25
251.0,4.938359897252319e+25,-1.977423000737309e+25,-2.4371869318063795e+25
252.0,4.938359897252319e+25,-1.9431794362510775e+25,-2.4085950907640156e+25
253.0,4.938359897252319e+25,-1.9092685995661273e+25,-2.380265343246982e+25
254.0,4.938359897252319e+25,-1.875685720066677e+25,-2.352194198156407e+25
255.0,4.938359897252319e+25,-1.842426117031324e+25,-2.324378225758175e+25
256.0,4.938359897252319e+25,-1.809485197542824e+25,-2.296814056343599e+25
257.0,4.938359897252319e+25,-1.7768584544555573e+25,-2.26949837892499e+25
258.0,4.938359897252319e+25,-1.7445414644187547e+25,-2.242427939965052e+25
259.0,4.938359897252319e+25,-1.712529885953814e+25,-2.2155995421390777e+25
260.0,4.938359897252319e+25,-1.6808194575838978e+25,-2.1890100431289464e+25
261.0,4.938359897252319e+25,-1.649405996014249e+25,-2.162656354448055e+25
262.0,4.938359897252319e+25,-1.618285394361599e+25,-2.1365354402961146e+25
263.0,4.938359897252319e+25,-1.5874536204311468e+25,-2.110644316443117e+25
264.0,4.938359897252319e+25,-1.5569067150396401e+25,-2.084980049141432e+25
265.0,4.938359897252319e+25,-1.5266407903831198e+25,-2.0595397540653307e+25
266.0,4.938359897252319e+25,-1.4966520284479723e+25,-2.0343205952770897e+25
267.0,4.938359897252319e+25,-1.4669366794639592e+25,-2.009319784218918e+25
268.0,4.938359897252319e+25,-1.4374910603979166e+25,-1.9845345787299063e+25
269.0,4.938359897252319e+25,-1.408311553486941e+25,-1.959962282087371e+25
270.0,4.938359897252319e+25,-1.3793946048098087e+25,-1.9356002420718075e+25
271.0,4.938359897252319e+25,-1.3507367228955328e+25,-1.9114458500548075e+25
272.0,4.938359897252319e+25,-1.3223344773679002e+25,-1.8874965401092958e+25
273.0,4.938359897252319e+25,-1.2941844976249233e+25,-1.8637497881414485e+25
274.0,4.938359897252319e+25,-1.266283471552199e+25,-1.8402031110436618e+25
275.0,4.938359897252319e+25,-1.2386281442691256e+25,-1.8168540658679951e+25
276.0,4.938359897252319e+25,-1.211215316907019e+25,-1.7937002490195158e+25
277.0,4.938359897252319e+25,-1.184041845418241e+25,-1.770739295468972e+25
278.0,4.938359897252319e+25,-1.157104639415328e+25,-1.7479688779842819e+25
279.0,4.938359897252319e+25,-1.1304006610393665e+25,-1.7253867063802888e+25
280.0,4.938359897252319e+25,-1.1039269238566663e+25,-1.7029905267863134e+25
281.0,4.938359897252319e+25,-1.0776804917829577e+25,-1.6807781209309523e+25
282.0,4.938359897252319e+25,-1.0516584780343456e+25,-1.6587473054437485e+25
283.0,4.938359897252319e+25,-1.0258580441041694e+25,-1.636895931173147e+25
284.0,4.938359897252319e+25,-1.0002763987651307e+25,-1.615221882520424e+25
285.0,4.938359897252319e+25,-9.749107970958777e+24,-1.5937230767890446e+25
286.0,4.938359897252319e+25,-9.497585395314294e+24,-1.5723974635491395e+25
287.0,4.938359897252319e+25,-9.248169709366864e+24,-1.5512430240165507e+25
288.0,4.938359897252319e+25,-9.000834797024699e+24,-1.5302577704462151e+25
289.0,4.938359897252319e+25,-8.755554968633728e+24,-1.509439745539429e+25
290.0,4.938359897252319e+25,-8.512304952368611e+24,-1.488787021864571e+25
291.0,4.938359897252319e+25,-8.271059885830241e+24,-1.4682977012910327e+25
292.0,4.938359897252319e+25,-8.031795307844039e+24,-1.4479699144359512e+25
293.0,4.938359897252319e+25,-7.794487150453334e+24,-1.42780182012338e+25
294.0,4.938359897252319e+25,-7.559111731102681e+24,-1.4077916048556535e+25
295.0,4.938359897252319e+25,-7.325645745005768e+24,-1.3879374822965516e+25
296.0,4.938359897252319e+25,-7.094066257692979e+24,-1.3682376927659978e+25
297.0,4.938359897252319e+25,-6.864350697733495e+24,-1.3486905027459753e+25
298.0,4.938359897252319e+25,-6.636476849627569e+24,-1.3292942043973754e+25
299.0,4.938359897252319e+25,-6.410422846864072e+24,-1.3100471150875148e+25
300.0,4.938359897252319e+25,-6.186167165138985e+24,-1.2909475769280132e+25
301.0,4.938359897252319e+25,-5.963688615730489e+24,-1.2719939563228032e+25
302.0,4.938359897252319e+25,-5.742966339026588e+24,-1.2531846435259835e+25
303.0,4.938359897252319e+25,-5.523979798200956e+24,-1.2345180522092972e+25
304.0,4.938359897252319e+25,-5.306708773033311e+24,-1.215992619038955e+25
305.0,4.938359897252319e+25,-5.091133353870573e+24,-1.1976068032616333e+25
306.0,4.938359897252319e+25,-4.87723393572457e+24,-1.179359086299284e+25
307.0,4.938359897252319e+25,-4.664991212503457e+24,-1.1612479713527573e+25
308.0,4.938359897252319e+25,-4.454386171372956e+24,-1.1432719830137527e+25
309.0,4.938359897252319e+25,-4.245400087243658e+24,-1.1254296668851218e+25
310.0,4.938359897252319e+25,-4.0380145173821067e+24,-1.1077195892091644e+25
311.0,4.938359897252319e+25,-3.8322112961414917e+24,-1.0901403365038e+25
312.0,4.938359897252319e+25,-3.627972529809339e+24,-1.0726905152064005e+25
313.0,4.938359897252319e+25,-3.425280591569269e+24,-1.0553687513250804e+25
314.0,4.938359897252319e+25,-3.2241181165735247e+24,-1.0381736900972932e+25
315.0,4.938359897252319e+25,-3.024467997123836e+24,-1.021103995655515e+25
316.0,4.938359897252319e+25,-2.8263133779577406e+24,-1.0041583506998984e+25
317.0,4.938359897252319e+25,-2.6296376516374766e+24,-9.873354561777018e+24
318.0,4.938359897252319e+25,-2.4344244540391566e+24,-9.706340309692629e+24
319.0,4.938359897252319e+25,-2.2406576599397983e+24,-9.54052811580523e+24
320.0,4.938359897252319e+25,-2.0483213786990204e+24,-9.375905518417897e+24
321.0,4.938359897252319e+25,-1.8573999500341795e+24,-9.212460226126443e+24
322.0,4.938359897252319e+25,-1.6678779398855503e+24,-9.050180114928777e+24
323.0,4.938359897252319e+25,-1.4797401363701378e+24,-8.889053225392728e+24
324.0,4.938359897252319e+25,-1.292971545821223e+24,-8.729067759881079e+24
325.0,4.938359897252319e+25,-1.1075573889122856e+24,-8.570212079832598e+24
326.0,4.938359897252319e+25,-9.234830968624545e+23,-8.412474703097517e+24
327.0,4.938359897252319e+25,-7.407343077221104e+23,-8.255844301326361e+24
328.0,4.938359897252319e+25,-5.592968627364674e+23,-8.100309697410809e+24
329.0,4.938359897252319e+25,-3.791568027849947e+23,-7.945859862975596e+24
330.0,4.938359897252319e+25,-2.003003648952625e+23,-7.792483915919681e+24
331.0,4.938359897252319e+25,-2.2713978829220035e+22,-7.640171118006503e+24
332.0,4.938359897252319e+25,1.5361573625993378e+23,-7.48891087250119e+24
333.0,4.938359897252319e+25,3.28701975101818e+23,-7.338692721854345e+24
334.0,4.938359897252319e+25,5.0255774951558715e+23,-7.189506345431054e+24
335.0,4.938359897252319e+25,6.751958915509183e+23,-7.041341557284274e+24
336.0,4.938359897252319e+25,8.466290565648031e+23,-6.894188303971235e+24
337.0,4.938359897252319e+25,1.0168697262356475e+24,-6.748036662412261e+24
338.0,4.938359897252319e+25,1.1859302115162813e+24,-6.602876837791175e+24
339.0,4.938359897252319e+25,1.353822655527093e+24,-6.45869916149522e+24
340.0,4.938359897252319e+25,1.5205590363907877e+24,-6.315494089095927e+24
341.0,4.938359897252319e+25,1.6861511700103733e+24,-6.173252198367145e+24
342.0,4.938359897252319e+25,1.8506107127911772e+24,-6.0319641873416e+24
343.0,4.938359897252319e+25,2.013949164308794e+24,-5.89162087240449e+24
344.0,4.938359897252319e+25,2.1761778699237006e+24,-5.75221318642251e+24
345.0,4.938359897252319e+25,2.3373080233440593e+24,-5.613732176909031e+24
