,U (iso),U (SOC),U (SOC+CFS),F (iso),F (SOC),F (SOC+CFS),S (iso),S (SOC),S (SOC+CFS)
471.7171717171717,-4.81482486096809e-35,6.155121021078967e-23,5.511183013503312e-22,-1.7187542828853346e-20,-1.1678146089229864e-20,-9.205723355913424e-21,3.6436118630759776e-23,2.4886563902774457e-23,2.06811317459905e-23
488.8888888888889,-0.0,7.826101988757744e-23,6.188696297751022e-22,-1.7813213552815888e-20,-1.2105768887409414e-20,-9.562050583181529e-21,3.643611863075968e-23,2.492122989704942e-23,2.0822105720204502e-23
506.06060606060606,-0.0,9.790198626597176e-23,6.905609430576097e-22,-1.8438884276778428e-20,-1.2534026711956816e-20,-9.920825976607317e-21,3.643611863075987e-23,2.496058814197398e-23,2.0966140328107778e-23
523.2323232323232,4.81482486096809e-35,1.2068594160421342e-22,7.6616852570888425e-22,-1.906455500074097e-20,-1.2963001207436801e-20,-1.0282099846975128e-20,3.643611863075987e-23,2.500473837023512e-23,2.111298471144177e-23
540.4040404040404,-4.81482486096809e-35,1.4680398314294247e-22,8.456657493174747e-22,-1.9690225724703514e-20,-1.339277530244974e-20,-1.0645918380838649e-20,3.6436118630759776e-23,2.5053731606521012e-23,2.126240695177442e-23
557.5757575757576,4.81482486096809e-35,1.7642468886909763e-22,9.29021974222055e-22,-2.0315896448666056e-20,-1.3823432393923383e-20,-1.1012323924106776e-20,3.6436118630759776e-23,2.510757299213263e-23,2.1414189678701226e-23
574.7474747474748,-4.81482486096809e-35,2.0969296809461244e-22,1.016201574082387e-21,-2.09415671726286e-20,-1.4255055587028033e-20,-1.1381355198086975e-20,3.643611863075968e-23,2.5166225308438578e-23,2.1568126562607698e-23
591.9191919191919,-0.0,2.467294786908623e-22,1.107163127403902e-21,-2.156723789659114e-20,-1.468772700047582e-20,-1.1753047462620575e-20,3.643611863075987e-23,2.5229612958023805e-23,2.1724019611961046e-23
609.0909090909091,-4.81482486096809e-35,2.876305374346274e-22,1.2018587975699699e-21,-2.219290862055368e-20,-1.5121527143162182e-20,-1.2127432639305837e-20,3.6436118630759776e-23,2.529762620169414e-23,2.1881677173266915e-23
626.2626262626263,-0.0,3.32468449097472e-22,1.3002339064912049e-21,-2.2818579344516224e-20,-1.5556534364978448e-20,-1.2504539405944894e-20,3.643611863075959e-23,2.5370125487493277e-23,2.2040912524779224e-23
643.4343434343434,-0.0,3.8129218228576183e-22,1.4022266954583378e-21,-2.344425006847876e-20,-1.5992824382126597e-20,-1.2884393271469973e-20,3.6436118630759776e-23,2.5446945742729345e-23,2.2201542957383672e-23
660.6060606060606,9.62964972193618e-35,4.341283245410535e-22,1.5077682591691494e-21,-2.4069920792441304e-20,-1.6430469875334802e-20,-1.3267016638824734e-20,3.6436118630759776e-23,2.55279005307798e-23,2.2363389243956975e-23
677.7777777777778,9.62964972193618e-35,4.909822549981519e-22,1.6167826342800083e-21,-2.4695591516403846e-20,-1.6869540157931156e-20,-1.3652428861666477e-20,3.6436118630759776e-23,2.5612786000828995e-23,2.2526275409302775e-23
694.9494949494949,-0.0,5.518394793553445e-22,1.72918702146102e-21,-2.5321262240366386e-20,-1.7310100909706708e-20,-1.4040646299346244e-20,3.643611863075987e-23,2.5701384580750818e-23,2.2690028724683993e-23
712.1212121212121,-0.0,6.166670785831713e-22,1.8448921191795234e-21,-2.594693296432893e-20,-1.7752213971815526e-20,-1.4431682373423298e-20,3.6436118630759776e-23,2.5793468381416047e-23,2.285447986289894e-23
729.2929292929293,9.62964972193618e-35,6.854152293681166e-22,1.96380254783546e-21,-2.657260368829147e-20,-1.819593719755332e-20,-1.482554762797106e-20,3.643611863075968e-23,2.5888802295172634e-23,2.301946316109692e-23
746.4646464646464,-0.0,7.580187605453819e-22,2.0858173440333845e-21,-2.719827441225401e-20,-1.864132435366994e-20,-1.522224979511754e-20,3.643611863075968e-23,2.5987146782577564e-23,2.318481694872274e-23
763.6363636363637,-0.0,8.343987156012759e-22,2.2108305064069464e-21,-2.7823945136216557e-20,-1.9088425066853967e-20,-1.5621793866614064e-20,3.6436118630759776e-23,2.6088260350171838e-23,2.3350383906950093e-23
780.8080808080808,-9.62964972193618e-35,9.144638966266361e-22,2.3387315763177772e-21,-2.8449615860179097e-20,-1.953728481014049e-20,-1.6024182171719864e-20,3.643611863075987e-23,2.6191901728548503e-23,2.3516011433686295e-23
797.979797979798,-9.62964972193618e-35,9.98112369866581e-22,2.4694062387685988e-21,-2.9075286584141636e-20,-1.9987944924198053e-20,-1.6429414461306316e-20,3.6436118630759776e-23,2.6297831764610886e-23,2.3681551994751923e-23
815.1515151515152,9.62964972193618e-35,1.0852329172238533e-21,2.602736930883601e-21,-2.970095730810418e-20,-2.0440442668723088e-20,-1.6837487997802255e-20,3.6436118630759776e-23,2.640581504510568e-23,2.384686344724497e-23
832.3232323232323,-9.62964972193618e-35,1.1757064217600633e-21,2.7386034472524412e-21,-3.032662803206672e-20,-2.0894811299484512e-20,-1.724839765040362e-20,3.6436118630759776e-23,2.6515621270494847e-23,2.4011809325511253e-23
849.4949494949495,1.925929944387236e-34,1.2694071784194751e-21,2.876883533263568e-21,-3.095229875602926e-20,-2.1351080166901696e-20,-1.7662135994840013e-20,3.6436118630759776e-23,2.6627026399313384e-23,2.4176259083699874e-23
866.6666666666667,-9.62964972193618e-35,1.366204123912943e-21,3.0174534592232636e-21,-3.157796947999181e-20,-2.1809274832390227e-20,-1.8078693416914526e-20,3.643611863075959e-23,2.6739813583512715e-23,2.4340088291691508e-23
883.8383838383838,-9.62964972193618e-35,1.4659619820222272e-21,3.160188569571448e-21,-3.220364020395434e-20,-2.226941719906274e-20,-1.8498058218999115e-20,3.6436118630759776e-23,2.685377391511213e-23,2.4503178783350625e-23
901.010101010101,-1.925929944387236e-34,1.5685423224712704e-21,3.3049638028383727e-21,-3.2829310927916887e-20,-2.2731525653717307e-20,-1.8920216728665957e-20,3.6436118630759776e-23,2.696870700388881e-23,2.4665418757711386e-23
918.1818181818182,-0.0,1.673804533113292e-21,3.451654179180015e-21,-3.3454981651879426e-20,-2.3195615217378112e-20,-1.934515340865789e-20,3.6436118630759776e-23,2.708442140497905e-23,2.482670283493672e-23
935.3535353535354,-0.0,1.781606706461957e-21,3.600135253326756e-21,-3.408065237584197e-20,-2.3661697701969115e-20,-1.9772850967441566e-20,3.6436118630759776e-23,2.7200734914201334e-23,2.4986932069731093e-23
952.5252525252525,-0.0,1.891806442612436e-21,3.750283531663348e-21,-3.470632309980451e-20,-2.4129781870997148e-20,-2.0203290469638555e-20,3.6436118630759776e-23,2.731747474772026e-23,2.51460139254833e-23
969.6969696969697,-0.0,2.004261571398113e-21,3.9019768528859825e-21,-3.533199382376705e-20,-2.4599873602395866e-20,-2.0636451445690484e-20,3.6436118630759776e-23,2.743447762143365e-23,2.5303862212775974e-23
986.868686868687,-0.0,2.1188307972321814e-21,4.0550947322898084e-21,-3.59576645477296e-20,-2.5071976051935277e-20,-2.1072312000178338e-20,3.643611863075959e-23,2.75515897441847e-23,2.5460396996062632e-23
1004.040404040404,-0.0,2.23537427052297e-21,4.2095186702355016e-21,-3.658333527169213e-20,-2.5546089815832515e-20,-2.1510848918282535e-20,3.643611863075959e-23,2.766866673763625e-23,2.5615544472360028e-23
1021.2121212121212,-0.0,2.353754089854977e-21,4.365132425752169e-21,-3.720900599565467e-20,-2.6022213091409646e-20,-2.1952037769936154e-20,3.6436118630759776e-23,2.7785573494429214e-23,2.5769236825747446e-23
1038.3838383838383,-1.925929944387236e-34,2.473834739299766e-21,4.521822256532006e-21,-3.7834676719617216e-20,-2.6500341834833117e-20,-2.2395853011288005e-20,3.6436118630759964e-23,2.790218398505358e-23,2.592141206132088e-23
1055.5555555555557,-0.0,2.595483465319687e-21,4.6794771268285574e-21,-3.846034744357977e-20,-2.6980469915138762e-20,-2.2842268083153236e-20,3.6436118630759964e-23,2.8018381022746066e-23,2.60720138220608e-23
1072.7272727272727,-0.0,2.718570597728916e-21,4.837988884930876e-21,-3.90860181675423e-20,-2.746258926389712e-20,-2.329125550618706e-20,3.643611863075959e-23,2.813405599469921e-23,2.62209911918537e-23
1089.8989898989898,1.925929944387236e-34,2.8429698191307653e-21,4.997252412012386e-21,-3.9711688891504836e-20,-2.794669002000722e-20,-2.3742786972570428e-20,3.643611863075959e-23,2.8249108566875374e-23,2.6368298487642806e-23
1107.0707070707072,-0.0,2.968558387123199e-21,5.157165744222902e-21,-4.033735961546739e-20,-2.843276066922416e-20,-2.4196833434045504e-20,3.6436118630759964e-23,2.8363446368831147e-23,2.6513895043437844e-23
1124.2424242424242,1.925929944387236e-34,3.0952173134513397e-21,5.317630169931433e-21,-4.0963030339429927e-20,-2.892078817812869e-20,-2.4653365186183445e-20,3.6436118630759964e-23,2.8476984664141337e-23,2.6657744988646145e-23
1141.4141414141413,-0.0,3.2228315040868067e-21,5.47855030402692e-21,-4.1588701063392467e-20,-2.941075812233608e-20,-2.5112351948807085e-20,3.6436118630759776e-23,2.8589646011267546e-23,2.6799817022932e-23
1158.5858585858587,-0.0,3.3512898640327775e-21,5.639834141169141e-21,-4.221437178735501e-20,-2.990265480881869e-20,-2.5573762942526566e-20,3.6436118630759776e-23,2.870135991902115e-23,2.694008418955427e-23
1175.757575757576,3.851859888774472e-34,3.480485370440185e-21,5.8013930898186435e-21,-4.284004251131756e-20,-3.039646139228227e-20,-2.603756696137764e-20,3.6436118630759964e-23,2.881206250018997e-23,2.707852364889658e-23
1192.9292929292928,-0.0,3.610315117406198e-21,5.9631419888374855e-21,-4.346571323528009e-20,-3.089215998559288e-20,-2.650373244157957e-20,3.64361186307594e-23,2.892169612633264e-23,2.7215116453683364e-23
1210.1010101010102,-0.0,3.740680335604452e-21,6.124999108378441e-21,-4.409138395924263e-20,-3.1389731764297737e-20,-2.6972227526453635e-20,3.6436118630759776e-23,2.9030209086272463e-23,2.734984732716803e-23
1227.2727272727275,-0.0,3.871486389673489e-21,6.2868861366771645e-21,-4.4717054683205183e-20,-3.1889157065323457e-20,-2.7443020127563126e-20,3.6436118630759964e-23,2.9137555250375403e-23,2.748270444537029e-23
1244.4444444444446,-1.925929944387236e-34,4.002642756074729e-21,6.4487281543023136e-21,-4.534272540716772e-20,-3.239041547996719e-20,-2.791607798215322e-20,3.6436118630759776e-23,2.924369374233719e-23,2.7613679224287504e-23
1261.6161616161617,-0.0,4.1340629839236724e-21,6.6104535973098144e-21,-4.596839613113026e-20,-3.289348594132291e-20,-2.8391368706983097e-20,3.643611863075959e-23,2.9348588619854923e-23,2.7742766112821196e-23
1278.787878787879,-0.0,4.265664641073495e-21,6.7719942106627044e-21,-4.65940668550928e-20,-3.3398346806305646e-20,-2.8868859848654155e-20,3.6436118630759964e-23,2.945220856526761e-23,2.78699623920329e-23
1295.959595959596,-0.0,4.397369247557988e-21,6.933284993178232e-21,-4.721973757905535e-20,-3.390497593245331e-20,-2.9348518930547864e-20,3.6436118630759776e-23,2.9554526586998104e-23,2.7995267981202743e-23
1313.1313131313132,-0.0,4.52910219829494e-21,7.094264135181847e-21,-4.784540830301788e-20,-3.441335074969749e-20,-2.9830313496493436e-20,3.643611863075959e-23,2.965551973240991e-23,2.811868525105879e-23
1330.3030303030305,3.851859888774472e-34,4.660792676787718e-21,7.25487294993812e-21,-4.8471079026980434e-20,-3.492344832730376e-20,-3.0314211151291305e-20,3.6436118630759776e-23,2.9755168812504356e-23,2.824021884442823e-23
1347.4747474747476,-0.0,4.7923735613842875e-21,7.415055799863942e-21,-4.909674975094297e-20,-3.543524543618754e-20,-3.080017959822127e-20,3.6436118630759776e-23,2.985345813870558e-23,2.835987550448927e-23
1364.6464646464647,-3.851859888774472e-34,4.923781325492662e-21,7.574760018430327e-21,-4.9722420474905513e-20,-3.5948718606814856e-20,-3.12881866736677e-20,3.643611863075959e-23,2.99503752718607e-23,2.84776639107228e-23
1381.818181818182,-0.0,5.054955933036036e-21,7.733935828567311e-21,-5.034809119886805e-20,-3.646384418289791e-20,-3.177820037899358e-20,3.6436118630759964e-23,3.004591078346363e-23,2.8593594522568857e-23
1398.989898989899,3.851859888774472e-34,5.1858407302553865e-21,7.892536258345199e-21,-5.09737619228306e-20,-3.698059837109542e-20,-3.227018890979633e-20,3.6436118630759776e-23,3.014005802899625e-23,2.87076794307809e-23
1416.1616161616162,3.851859888774472e-34,5.316382334871434e-21,8.050517054596989e-21,-5.159943264679313e-20,-3.749895728692404e-20,-3.2764120682676956e-20,3.6436118630759776e-23,3.023281293322598e-23,2.8819932216386834e-23
1433.3333333333335,7.703719777548943e-34,5.446530523494973e-21,8.207836595081718e-21,-5.2225103370755684e-20,-3.8018896997085004e-20,-3.325996435965204e-20,3.6436118630759964e-23,3.03241737872099e-23,2.893036781712519e-23
1450.5050505050506,-0.0,5.576238118057285e-21,8.364455799765341e-21,-5.285077409471822e-20,-3.854039355840397e-20,-3.3757688870335794e-20,3.6436118630759776e-23,3.041414105671199e-23,2.903900240122318e-23
1467.6767676767677,3.851859888774472e-34,5.7054608719666856e-21,8.520338041676177e-21,-5.347644481868076e-20,-3.9063423053578136e-20,-3.425726343201728e-20,3.643611863075959e-23,3.050271720170826e-23,2.9145853248313287e-23
1484.848484848485,-0.0,5.8341573565668674e-21,8.675449057772292e-21,-5.4102115542643303e-20,-3.9587961623917195e-20,-3.475865756775263e-20,3.6436118630759964e-23,3.058990650660066e-23,2.9250938637288273e-23
1502.020202020202,-0.0,5.9622888484337895e-21,8.829756860220068e-21,-5.472778626660584e-20,-4.0113985499259365e-20,-3.526184112259082e-20,3.643611863075959e-23,3.067571492074777e-23,2.935427774087271e-23
1519.1919191919194,7.703719777548943e-34,6.089819217942141e-21,8.983231648387296e-21,-5.535345699056839e-20,-4.064147102523581e-20,-3.5766784278045227e-20,3.643611863076015e-23,3.076014990891677e-23,2.945589052667173e-23
1536.3636363636365,3.851859888774472e-34,6.216714819499469e-21,9.135845721871455e-21,-5.597912771453093e-20,-4.117039468805045e-20,-3.627345756492096e-20,3.6436118630759776e-23,3.084322031122277e-23,2.95557976644548e-23
1553.5353535353536,-0.0,6.342944383751877e-21,9.287573394786964e-21,-5.660479843849347e-20,-4.1700733136934367e-20,-3.6781831874602253e-20,3.64361186307594e-23,3.0924936212137765e-23,2.965402043940802e-23
1570.707070707071,-0.0,6.468478912043838e-21,9.43839091154254e-21,-5.723046916245601e-20,-4.22324632044269e-20,-3.7291878468900635e-20,3.643611863075959e-23,3.100530881814518e-23,2.975058067111564e-23
1587.878787878788,-0.0,6.593291573350509e-21,9.588276364289094e-21,-5.785613988641855e-20,-4.276556192462824e-20,-3.780356898855976e-20,3.6436118630759776e-23,3.108435034361122e-23,2.984550063800044e-23
1605.050505050505,-0.0,6.717357603849347e-21,9.737209612180512e-21,-5.848181061038109e-20,-4.330000654956102e-20,-3.8316875460508727e-20,3.6436118630759964e-23,3.1162073904458274e-23,2.993880300696876e-23
1622.2222222222224,-0.0,6.840654209304346e-21,9.885172202584249e-21,-5.910748133434364e-20,-4.383577456377126e-20,-3.8831770303950614e-20,3.643611863075959e-23,3.123849341923141e-23,3.003051076800792e-23
1639.3939393939395,7.703719777548943e-34,6.963160470333784e-21,1.0032147294340722e-20,-5.973315205830617e-20,-4.4372843697292207e-20,-3.9348226335369604e-20,3.643611863075921e-23,3.13136235171553e-23,3.0120647173486085e-23
1656.5656565656566,-0.0,7.084857250665852e-21,1.0178119583141227e-20,-6.035882278226871e-20,-4.4911191937087696e-20,-3.986621677253498e-20,3.6436118630759964e-23,3.138747945279054e-23,3.0209235681902743e-23
1673.737373737374,3.851859888774472e-34,7.20572710843918e-21,1.032307522909988e-20,-6.098449350623126e-20,-4.5450797537085014e-20,-4.038571523757637e-20,3.643611863076034e-23,3.1460077026921545e-23,3.029629990585434e-23
1690.909090909091,3.851859888774472e-34,7.325754210551338e-21,1.046700178654846e-20,-6.16101642301938e-20,-4.5991639026901163e-20,-4.090669575920069e-20,3.6436118630759964e-23,3.1531432513303316e-23,3.038186356398572e-23
1708.080808080808,-3.851859888774472e-34,7.44492425009461e-21,1.0609888136099236e-20,-6.223583495415634e-20,-4.6533695219360074e-20,-4.142913277411729e-20,3.643611863075959e-23,3.1601562590921945e-23,3.0465950436699004e-23
